[276, 229, 230, 153, 181, 235, 258, 221, 260, 221]
[208, 179, 224, 126, 121, 183, 222, 168, 182, 193]
[225, 197, 222, 98, 110, 199, 214, 149, 180, 197]
[290, 174, 234, 117, 212, 221, 240, 157, 257, 216]
[196, 149, 175, 71, 125, 163, 144, 111, 154, 136]
[370, 340, 310, 121, 225, 247, 262, 187, 270, 201]
[338, 300, 316, 128, 247, 312, 266, 223, 273, 203]
[207, 155, 165, 86, 180, 136, 154, 114, 183, 104]
[252, 198, 271, 121, 127, 204, 214, 172, 175, 214]
[281, 191, 206, 116, 177, 151, 200, 134, 215, 186]
